,LMD,HIV4,VADER,FinBERT,Average
2015-02-03,0.101062750000005,0.019776000000002493,0.020635999999996664,-1.2250693333333367,-0.23344624999999752
2015-02-04,-0.004086499999999974,0.24119183333333166,0.08226524999999998,0.08245175000000002,0.004710333333333365
2015-02-05,-0.0656218888888889,0.06778311111110889,0.1523638571428557,0.03137142857142857,0.013798666666665557
2015-02-06,-0.032731999999998034,-0.23583769999999796,-0.21781114285714281,0.24932142857142708,0.024692599999999933
2015-02-09,-0.029578500000000837,0.009700999999999162,0.050033,-0.05748577777777667,-0.03652191666666667
2015-02-10,-0.03119276923076846,0.09652546153846232,0.19146659999999802,0.10752140000000002,0.10004730769230692
2015-02-11,0.03701464285714357,-0.015243642857144985,0.061348000000000916,-0.039274363636362726,-0.05608421428571356
2015-02-12,-0.029738999999998746,-0.08284549999999999,-0.06896266666666416,-0.043777916666665,-0.0705366249999975
2015-02-13,0.08200262499999876,-0.012162250000001876,-0.06710461538461768,0.004468153846152317,0.04962331249999876
2015-02-16,0.001470647058822353,-0.005378823529411768,-0.009501384615383078,-0.004261153846153077,-0.0034248823529405884
2015-02-17,0.15489599999999723,0.05727438888888834,0.003435928571430733,-0.031236999999999286,0.07953511111110834
2015-02-18,-0.14326805263157896,-0.011641578947366844,0.008216933333332009,0.027732600000000003,-0.07563436842105314
2015-02-19,0.06541084210526105,0.056725947368421584,-0.06644362499999998,-0.1129745625,0.0708293999999995
2015-02-20,0.0181346499999995,0.0702417,0.12147781249999938,0.1571769375000006,0.029559149999999475
2015-02-23,0.029338999999999983,-0.05600180000000049,-0.003973000000002361,-0.03577035294117823,-0.06477205000000201
2015-02-24,0.04506495238095191,0.014519047619048096,-0.08931541176470648,0.04922723529411884,0.04453757142857143
2015-02-25,0.044996000000000466,0.022586952380951417,0.030608111111109997,0.08687911111110888,0.08268942857142764
2015-02-26,0.025136954545454525,-0.08626159090909047,-0.027451777777778883,-0.07730233333333277,-0.0439127272727259
2015-02-27,-0.02708159090909091,0.04839604545454409,-0.019491333333332226,0.014878999999998884,-0.021477045454546373
2015-03-02,-0.022454545454542736,-0.062318181818180454,-0.06911111111111,-0.043333333333333335,-0.0016818181818172755
2015-03-03,-0.051346636363636816,-0.10130068181818275,-0.06695016666666555,-0.15295455555555446,-0.08789322727272726
2015-03-04,0.05895695454545362,0.06398299999999635,0.07530122222221945,0.07086938888888777,0.02978191304347609
2015-03-05,0.00046860869565347484,0.011497652173916089,0.05183689473684263,-0.02038868421052527,-0.05557191304347607
2015-03-06,0.025458260869566537,0.12728447826087042,0.08695647368421419,-0.18142494736842055,-0.025343869565214772
2015-03-09,-0.06625117391304217,0.016686521739129566,0.06265352631578841,0.08042105263158,0.12529504347825957
2015-03-10,-0.04640156521739347,-0.0495392173913061,0.03704631578947368,0.03362247368420947,0.07262569565217178
